Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
81,Micro,Retail,7,2.275,0.2625,0.4375,0,0,0.2625,0.4375,0,0.875,68.25,0.696428571,14,Lowest,Very Low,0.65,1 kW
6,Micro,Food and beverages,7,2.45,0,0,0,0,2.45,0,0,0,73.5,0.954545455,11,Lowest,Very Low,0.7,1 kW
62,Micro,Food and beverages,7,2.45,0,0,0,0,2.45,0,0,0,73.5,2.1,5,Lowest,Very Low,0.7,1 kW
109,Micro,Food and beverages,7,2.45,0,0,0,0,2.45,0,0,0,73.5,2.1,5,Lowest,Very Low,0.7,1 kW
90,Small,Food and beverages,7,2.45,0,0,0,0.35,1.05,0,1.05,0,73.5,0.75,14,Lowest,Very Low,2.125,1 kW
58,Micro,Retail,7,2.525,1.625,0,0,0,0.0875,0.8125,0,0,75.75,1.202380952,9,Lowest,Very Low,0.4,1 kW
104,Micro,Retail,7,2.525,1.625,0,0,0,0.0875,0.8125,0,0,75.75,1.202380952,9,Lowest,Very Low,0.4,1 kW
118,Micro,Retail,7,2.525,1.625,0,0,0,0.0875,0.8125,0,0,75.75,1.202380952,9,Lowest,Very Low,0.4,1 kW
128,Small,Services,7,3.225,0.375,0.0625,0,0.125,0.375,1.05,1.05,0.1875,96.75,1.382142857,10,Lowest,Very Low,2.75,1 kW
7,Small,Food and beverages,7,4.15,1.05,0.125,0.125,1.05,0.375,0,0.375,1.05,124.5,2.540816327,7,Lowest,Very Low,3.125,1 kW
60,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,2.81547619,9,Lowest,Very Low,1.825,2 kW
95,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,2.81547619,9,Lowest,Very Low,1.825,2 kW
