Respondent_code,Business_Category,Industry Type,NoOfOperationDays,Number_of_Operation_hours,MonthlyUsageKW_Eqpt,Business_Operation_(Day)],Mon,DailyUsageKW],Tue,Wed,Thu,Fri,Sat,Sun
124,Micro,Retail,7,13,178.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5.9625,5.9625,5.9625,5.9625,5.9625,5.9625,5.9625,5.9625
127,Micro,Services,7,4,33.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
129,Micro,Retail,7,13,542.625,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875,18.0875
1,Micro,Retail,7,13,391.125,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",13.0375,13.0375,13.0375,13.0375,13.0375,13.0375,13.0375,13.0375
3,Micro,Retail,7,14,68.25,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.275,2.275,2.275,2.275,2.275,2.275,2.275,2.275
49,Micro,Retail,7,15,343.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11.4625,11.4625,11.4625,11.4625,11.4625,11.4625,11.4625,11.4625
81,Micro,Retail,7,14,68.25,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.275,2.275,2.275,2.275,2.275,2.275,2.275,2.275
4,Micro,Food and beverages,7,2,15,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,Micro,Food and beverages,7,4,42.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425
26,Micro,Food and beverages,7,9,228,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
28,Micro,Retail,7,13,48.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
35,Micro,Retail,7,9,21,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
38,Micro,Food and beverages,7,7,2644.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625
41,Micro,Retail,7,14,48.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
54,Micro,Services,7,9,42.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.425
65,Micro,Food and beverages,7,9,228,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
78,Micro,Food and beverages,7,11,228,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
84,Micro,Retail,7,10,48.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
108,Micro,Food and beverages,7,9,2644.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625
110,Micro,Retail,7,13,39.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125
122,Micro,Food and beverages,7,7,2644.875,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625,88.1625
44,Small,Services,7,24,218.625,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7.2875,7.2875,7.2875,7.2875,7.2875,7.2875,7.2875,7.2875
72,Small,Services,7,9,2207.625,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",73.5875,73.5875,73.5875,73.5875,73.5875,73.5875,73.5875,73.5875
83,Small,Food and beverages,7,10,297,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
85,Small,Services,7,18,217.125,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7.2375,7.2375,7.2375,7.2375,7.2375,7.2375,7.2375,7.2375
94,Small,Food and beverages,7,15,18.375,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125
7,Small,Food and beverages,7,7,124.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
46,Medium,Services,7,24,9918,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",330.6,330.6,330.6,330.6,330.6,330.6,330.6,330.6
86,Small,Food and beverages,7,5,15,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
90,Small,Food and beverages,7,14,73.5,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
128,Small,Services,7,10,96.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225
9,Micro,Services,6,9,410.1428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",15.95,15.95,15.95,15.95,15.95,15.95,15.95,0
11,Micro,Retail,6,13,575.3571429,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",22.375,22.375,22.375,22.375,22.375,22.375,22.375,0
14,Micro,Services,3,4,14.46428571,"Friday, Saturday, Sunday",0,1.125,0,0,0,1.125,1.125,1.125
