Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW
23,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175
27,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,6.717032967,13,Lowest,Very Low,2.875
60,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,2.81547619,9,Lowest,Very Low,1.825
74,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175
95,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,2.81547619,9,Lowest,Very Low,1.825
97,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,1.689285714,15,Lowest,Very Low,1.825
103,Micro,Manufacturing,5,0.2625,0.075,0,0.075,0,0.075,0,0,0.0375,5.625,0.125,9,Lowest,Very Low,0.175
125,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,9.702380952,9,Lowest,Very Low,2.875
30,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,6.717032967,13,Lowest,Very Low,2.875
44,Small,Services,7,7.2875,2.1875,0.4375,0.0375,2.1875,1.125,0.1875,0,1.125,218.625,1.301339286,24,Lowest,Very Low,1.825
111,Medium,Food and beverages,6,1.8125,0.0375,0.325,0.1625,0.0375,0.0875,0.0375,0,1.125,46.60714286,0.863095238,9,Lowest,Very Low,0.3
4,Micro,Food and beverages,7,0.5,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,15,1.071428571,2,Lowest,Very Low,1
7,Small,Food and beverages,7,4.15,1.05,0.125,0.125,1.05,0.375,0,0.375,1.05,124.5,2.540816327,7,Lowest,Very Low,3.125
12,Small,Manufacturing,6,0.8,0.125,0.175,0.0625,0.0625,0.125,0.125,0.0625,0.0625,20.57142857,0.685714286,5,Lowest,Very Low,1.6
21,Micro,Food and beverages,7,1.425,0.375,0.0125,0.0625,0.125,0.375,0.0375,0.0625,0.375,42.75,1.526785714,4,Lowest,Very Low,1.3
26,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,3.619047619,9,Lowest,Very Low,2.65
28,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.535714286,13,Lowest,Very Low,1.1
